,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.5160919111575202,0.517810384279682,0.9063806505558939,0.6590875823371554
Decision Tree,0.517258647970464,0.5192623732819588,0.8708798298768465,0.6506026883834996
Random Forest,0.5196507248152666,0.519291827719492,0.931981707631799,0.6669597047948671
KNN (k=10),0.4975786215457398,0.5160623708435093,0.4253594987147856,0.4663414744561896
