mu,sigma,Ann_Ret,Ann_Vol,Sharpe,Ticker,Sector
0.0010541251484539604,0.020036647316263808,0.26563953741039803,0.3180719154380627,0.8351555875172051,AAPL,Technology
0.0007473623775468703,0.01578068090238322,0.1883353191418113,0.2505105431218341,0.7518059591217114,ABBV,Healthcare
0.00037177762046393544,0.01608586820393251,0.09368796035691174,0.2553552413409999,0.36689264674932354,ABT,Healthcare
0.0003315556240730113,0.018427754517784382,0.08355201726639884,0.29253153405242677,0.28561713025927954,ACN,Technology
0.0003140089416308879,0.023705550414751836,0.07913025329098375,0.3763139465360245,0.21027722735067064,ADBE,Technology
0.0007972449937498514,0.022764041783922648,0.20090573842496257,0.3613679603696548,0.555958912957999,ADI,Technology
0.00033168762318373655,0.019023127020706184,0.0835852810423016,0.3019827795334898,0.2767882366386128,ADM,Cons. Staples
0.00041528187893002304,0.016772918967820186,0.10465103349036581,0.2662618340969424,0.3930380553611892,ADP,Other
0.000582553649393426,0.02365507482573168,0.14680351964714333,0.37551267140106354,0.39094158686951713,ADSK,Technology
0.00030523460533127966,0.015766533431348605,0.07691912054348247,0.25028595898160566,0.3073249528517719,AEE,Utilities
0.0002539055165068186,0.01513071262134264,0.06398419015971829,0.24019261653155305,0.26638699841680175,AEP,Utilities
0.00012684999486133622,0.026383080452062523,0.03196619870505673,0.41881841817580195,0.07632472049411804,AES,Utilities
0.0006670644039824382,0.019285224399325545,0.16810022980357442,0.30614344643214236,0.5490897543705361,AFL,Other
0.0006223085141781467,0.02390163360956353,0.15682174557289297,0.3794266707545292,0.4133123938310312,AIG,Financials
0.0005804422238445429,0.01904422467103345,0.1462714404088248,0.30231769434957223,0.4838335404863535,AIZ,Financials
0.0007946334448459999,0.016235412570266033,0.20024762810119195,0.25772918456073535,0.7769691602543463,AJG,Financials
0.0002051372018300091,0.02021799842209904,0.051694574861162294,0.3209507749942222,0.16106698873711367,AKAM,Technology
0.001046266928793992,0.03462849598916407,0.263659266056086,0.5497103319811546,0.47963309167913704,ALB,Materials
0.00018945824931165882,0.03398921836400298,0.047743478826538024,0.5395621142917293,0.08848560260612401,ALGN,Healthcare
0.00027968205918888666,0.030990053798967916,0.07047987891559944,0.4919518528114894,0.14326580642558645,ALK,Other
0.0005732052678055957,0.018174753360267176,0.1444477274870101,0.2885152651872147,0.5006588729136373,ALL,Financials
0.0003373226094107727,0.01889753771964492,0.08500529757151472,0.2999891111858586,0.2833612767993089,ALLE,Industrials
0.001373961970018991,0.02930634586472602,0.34623841644478576,0.4652238179646673,0.7442405205295869,AMAT,Technology
5.832456107549522e-06,0.018227456439184116,0.0014697789391024795,0.28935190062806454,0.005079555157274554,AMCR,Materials
0.0015476413876414285,0.033944484306291274,0.39000562968563995,0.5388519831406894,0.7237713544496931,AMD,Technology
0.000619512118436274,0.017107423422668393,0.15611705384594105,0.27157192769677196,0.574864475757804,AME,Industrials
0.00034368658487631074,0.016669848720331587,0.08660901938883031,0.26462564464239413,0.3272888366729185,AMGN,Healthcare
